SIBus_Name,Auth_Alias
WTS.BDC.BUS,none
WTS.CDC.BUS,none
WTS.GRP.BUS,none
WTS.MH.BUS,none
WTS.ODC.BUS,none
WTS.PDC.BUS,none
WTS.RCDC.BUS,none
