ServerName,NodeName,EndPointName,Port
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,SIB_ENDPOINT_ADDRESS,33000
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,SIB_ENDPOINT_SECURE_ADDRESS,33100
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,SIB_MQ_ENDPOINT_ADDRESS,33200
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,SIB_MQ_ENDPOINT_SECURE_ADDRESS ,33300
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,SIP_DEFAULTHOST,33400
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,SIP_DEFAULTHOST_SECURE ,33500
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,SOAP_CONNECTOR_ADDRESS ,33600
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,WC_adminhost,33700
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,WC_adminhost_secure,33800
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,WC_defaulthost,33900
TEMP_SIB_sepa2tt01Node01,sepa2tt01Node01,WC_defaulthost_secure,34000
