Cluster_Name,JNDI_Name,Delivery_Mode,Bus_Name,Queue_Name,Connect_Queue_Name
DCGRP_PROCESS,jms/WTSToEAIBoQueue,Application,WTS.GRP.BUS,WTSToEAIBoQueue,WTS.TO.IWTS.BO.GRP.QUEUE
DCGRP_PROCESS,jms/WTSToEAIDcQueue,Application,WTS.GRP.BUS,WTSToEAIDcQueue,WTS.TO.IWTS.DC.GRP.QUEUE
DCGRP_PROCESS,jms/RvsExportGR,Application,WTS.GRP.BUS,RvsExportGR,WAS.TO.WPS.QUEUE
DCGRP_PROCESS,jms/RvsImportEAIBO,Application,WTS.GRP.BUS,RvsImportEAIBO,EAI.TO.OWTS.BO.ODC.QUEUE
DCGRP_PROCESS,jms/RvsImportEAIDC,Application,WTS.GRP.BUS,RvsImportEAIDC,EAI.TO.OWTS.DC.ODC.QUEUE
DCGRP_PROCESS,jms/WASToWPSQueue,Application,WTS.GRP.BUS,WASToWPSQueue,WAS.TO.WPS.QUEUE
DCGRP_PROCESS,jms/WASToWPSDOSTQueue,Application,WTS.GRP.BUS,WASToWPSDOSTQueue,WAS.TO.WPS.DOST.QUEUE
DCGRP_PROCESS,jms/WASToWPSDOBOQueue,Application,WTS.GRP.BUS,WASToWPSDOBOQueue,WAS.TO.WPS.DOBO.QUEUE
DCMH_PROCESS,jms/RvsImportEAIBOMH,Application,WTS.MH.BUS,EAIToWTSBoQueue,EAI.TO.OWTS.BO.MH.QUEUE
DCMH_PROCESS,jms/RvsImportEAIDCMH,Application,WTS.MH.BUS,EAIToWTSDcQueue,EAI.TO.OWTS.DC.MH.QUEUE
DCMH_PROCESS,jms/WTSToEAIBoMHQueue,Application,WTS.MH.BUS,WTSToEAIBoQueue,WTS.TO.IWTS.BO.MH.QUEUE
DCMH_PROCESS,jms/WTSToEAIDcMHQueue,Application,WTS.MH.BUS,WTSToEAIDcQueue,WTS.TO.IWTS.DC.MH.QUEUE
DCMH_PROCESS,jms/RvsExportGR,Application,WTS.MH.BUS,RvsExportGR,WAS.TO.WPS.QUEUE
DCMH_PROCESS,jms/RvsImportEAIBO,Application,WTS.MH.BUS,RvsImportEAIBO,EAI.TO.OWTS.BO.ODC.QUEUE
DCMH_PROCESS,jms/WASToWPSQueue,Application,WTS.MH.BUS,WASToWPSQueue,WAS.TO.WPS.QUEUE
DCMH_PROCESS,jms/WASToWPSDOSTQueue,Application,WTS.MH.BUS,WASToWPSDOSTQueue,WAS.TO.WPS.DOST.QUEUE
